pc_id,state,constituency_name,form6_addition_requests,form6_inward_migration,form6_outward_migration,net_migration,form7_deletion_requests,form8_correction_requests,data_origin,anchor_level
PC521,Gujarat,Gujarat 458,5925,3555,2370,1185,330,877,synthetic,ECI_aggregate_estimate
PC522,Andhra Pradesh,Andhra Pradesh 459,5047,3181,1866,1315,386,1184,synthetic,ECI_aggregate_estimate
PC523,Odisha,Odisha 460,4402,1647,2755,-1108,290,563,synthetic,ECI_aggregate_estimate
PC524,Telangana,Telangana 461,1670,975,695,280,130,337,synthetic,ECI_aggregate_estimate
PC525,Kerala,Kerala 462,3082,1760,1322,438,188,712,synthetic,ECI_aggregate_estimate
PC526,Jharkhand,Jharkhand 463,6849,3547,3302,245,579,1098,synthetic,ECI_aggregate_estimate
PC527,Assam,Assam 464,2680,1178,1502,-324,139,458,synthetic,ECI_aggregate_estimate
PC528,Punjab,Punjab 465,1964,996,968,28,166,467,synthetic,ECI_aggregate_estimate
PC529,Chhattisgarh,Chhattisgarh 466,1545,647,898,-251,139,374,synthetic,ECI_aggregate_estimate
PC530,Haryana,Haryana 467,5408,2738,2670,68,371,716,synthetic,ECI_aggregate_estimate
PC531,Uttarakhand,Uttarakhand 468,4650,2558,2092,466,671,987,synthetic,ECI_aggregate_estimate
PC532,Himachal Pradesh,Himachal Pradesh 469,2664,940,1724,-784,170,555,synthetic,ECI_aggregate_estimate
PC533,Tripura,Tripura 470,2822,1672,1150,522,256,705,synthetic,ECI_aggregate_estimate
PC534,Meghalaya,Meghalaya 471,3623,2308,1315,993,345,766,synthetic,ECI_aggregate_estimate
PC535,Manipur,Manipur 472,1699,1087,612,475,199,284,synthetic,ECI_aggregate_estimate
PC536,Nagaland,Nagaland 473,2516,977,1539,-562,287,331,synthetic,ECI_aggregate_estimate
PC537,Goa,Goa 474,3450,1592,1858,-266,479,376,synthetic,ECI_aggregate_estimate
PC538,Arunachal Pradesh,Arunachal Pradesh 475,4891,1870,3021,-1151,318,1145,synthetic,ECI_aggregate_estimate
PC539,Mizoram,Mizoram 476,1800,742,1058,-316,161,417,synthetic,ECI_aggregate_estimate
PC540,Sikkim,Sikkim 477,6799,3376,3423,-47,734,1454,synthetic,ECI_aggregate_estimate
PC541,Jammu and Kashmir,Jammu and Kashmir 478,7112,4488,2624,1864,448,1713,synthetic,ECI_aggregate_estimate
PC542,Ladakh,Ladakh 479,4278,2304,1974,330,351,722,synthetic,ECI_aggregate_estimate
PC543,Uttar Pradesh,Uttar Pradesh 480,6342,3983,2359,1624,648,1562,synthetic,ECI_aggregate_estimate
